Max Utilization,Dual Value
1170.6530507150087,-0.687737526
1356.7292590989266,-0.627640525
774.6407399067323,-0.747584584
583.4200245,-0.942335057
806.3621979348665,-0.798312064
327.14308351538904,-0.955948791
3895.1172973703497,-0.476399982
591.3964093287686,-0.863128357
1968.627364,-0.562660469
376.4551601091232,-0.861917971
1964.1195955088235,-0.601725699
754.0803116165797,-0.835348465
3820.865117789083,-0.469412177
317.8379429234617,-1.017551184
1939.650469596368,-0.557357603
714.5178536320536,-0.758647312
1460.1424978957966,-0.656702303
1986.400958382396,-0.608313842
290.1242091,-1.05616724
4947.224624995945,-0.412888711
